Unnamed: 0,Well,Site,GT_label,GT_Cell_id,Unique_ID,GT_x,GT_y,GT_colorR,GT_colorG,GT_colorB,GT_Shape,GT_dist_toInit_state,GT_initial_state,PositionOnRegressionPlaneX,PositionOnRegressionPlaneY,CP_ImagerNumber,CP_ObjectNumber,CP_x,CP_y,VAE_x_coord,VAE_y_coord,VAE_z_coord
336,A02,1,1,16,CellProcess_1_A02_01_id16.tiff,442,457,0.409484,0.978448,0.431036,0.392241,0.4311315551852388,green,0.021552,0.409484,2,20,451.0,461.0,0.35361287,-1.1665262,0.9907995
348,A02,1,1,29,CellProcess_1_A02_01_id29.tiff,721,66,0.975055,0.473947,0.498892,0.124723,0.4990024303742317,red,0.526053,0.975055,2,3,721.0,65.0,-2.6879005,0.809118,0.8947094
357,A02,2,1,2,CellProcess_1_A02_02_id2.tiff,744,435,0.990679,0.177106,0.186427,0.046607,0.18646876267586726,red,0.822894,0.990679,26,16,744.0,435.0,-3.5688202,-0.9443852,0.2872315
381,A02,2,1,29,CellProcess_1_A02_02_id29.tiff,339,351,0.462075,0.97568,0.486395,0.378401,0.4865028033851367,green,0.02432,0.462075,26,13,340.0,358.0,-0.32160655,-0.5467326,1.3431154
382,A02,2,1,30,CellProcess_1_A02_02_id30.tiff,299,646,0.955643,0.8427870000000001,0.887144,0.221786,0.8873412769024058,red,0.15721300000000002,0.955643,26,22,300.0,645.0,-0.84846234,2.189541,-0.010112397
412,A02,3,1,29,CellProcess_1_A02_03_id29.tiff,222,566,0.993912,0.11566400000000003,0.121752,0.030438,0.12177864918144846,red,0.884336,0.993912,50,20,222.0,566.0,-3.856405,-2.3939846,0.52170765
446,A02,4,1,28,CellProcess_1_A02_04_id28.tiff,386,241,0.982104,0.340019,0.357914,0.089479,0.3579942617090585,red,0.659981,0.982104,74,10,385.0,243.0,-3.4351885,1.2304903,0.56834406
448,A02,4,1,30,CellProcess_1_A02_04_id30.tiff,67,385,0.997058,0.055905,0.058848,0.014712,0.058860420934538776,red,0.944095,0.997058,74,15,66.0,385.0,-3.635526,-3.6056235,1.095732
462,A02,5,1,4,CellProcess_1_A02_05_id4.tiff,63,86,0.980287,0.37455,0.394263,0.098566,0.3943507342515071,red,0.62545,0.980287,98,1,66.0,83.0,-2.2132277,0.022713467,-0.44688258
507,A02,6,1,13,CellProcess_1_A02_06_id13.tiff,556,759,0.419597,0.977916,0.4416810000000001,0.38958,0.4417791686330342,green,0.022084,0.419597,122,27,557.0,757.0,-0.024350889,-0.21415986,1.6511321
